objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,manialtohongkong_1978_01.jpeg,,,"Cover, Fiesta Service, Manila to Hong Kong",Philippine Airlines,1978-12-19,,airlines;menu,"Evanston, Illinois",,,"Northwestern University, Transportation Library",,Image;StillImage,image/jpeg,"eng, chi, jpn",,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted."
coll003,manialtohongkong_1978_02.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Evanston, Illinois",,,"Northwestern University, Transportation Library",,Image;StillImage,image/jpeg,"eng, chi, jpn",,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted."
coll004,manialtohongkong_1978_03.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Evanston, Illinois",,,"Northwestern University, Transportation Library",,Image;StillImage,image/jpeg,"eng, chi, jpn",,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted."
coll005,manialtohongkong_1978_04.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Evanston, Illinois",,,"Northwestern University, Transportation Library",,Image;StillImage,image/jpeg,"eng, chi, jpn",,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted."
coll006,manialtohongkong_1978_05.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Evanston, Illinois",,,"Northwestern University, Transportation Library",,Image;StillImage,image/jpeg,"eng, chi, jpn",,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted."
coll007,manialtohongkong_1978_06.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Evanston, Illinois",,,"Northwestern University, Transportation Library",,Image;StillImage,image/jpeg,"eng, chi, jpn",,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted."
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,